bssid,x,y,z,qx,qy,qz,qw,obs
16113284576B,5,0.000000,0.000000,0.000000,0,0,0,1
3087D93155**,12,2.642015,-3.138838,-20.467094,0,0,0,1
3087D97155**,12,2.792799,-2.845509,-20.144903,0,0,0,1
3087D97195**,12,3.568073,-3.351048,-21.799120,0,0,0,1
3087D9B155**,12,2.696194,-3.090113,-20.357410,0,0,0,1
3087D9B195E8,12,3.568073,-3.351048,-21.799120,0,0,0,1
3087D9F15508,12,2.342016,-3.227061,-20.847216,0,0,0,1
3087D9F195E8,12,3.568073,-3.351048,-21.799120,0,0,0,1
3087D93152C8,24,2.321881,0.618706,-12.003183,0,0,0,1
3087D93189**,28,-0.619426,-0.469392,-11.593307,0,0,0,1
3087D9B152C8,24,2.321881,0.618706,-12.003183,0,0,0,1
3087D9F152C8,24,2.321881,0.618706,-12.003183,0,0,0,1
7C10C95D99D0,24,1.925161,0.658783,-11.970887,0,0,0,1
908D7865C090,24,0.930659,0.190395,-11.782473,0,0,0,1
3087D9B176**,3,0.000000,0.000000,0.000000,0,0,0,1
E848B87F19D0,3,0.000000,0.000000,0.000000,0,0,0,1
EA48B82F19CE,3,0.000000,0.000000,0.000000,0,0,0,1
